model,rmse,mae,hit_rate,n,rmse_vs_ar1
AR1,0.5588616728575447,0.4450045827164752,0.5632183908045977,261.0,1.0
RandomWalk,0.5599890277729139,0.44800498084291174,,261.0,1.0020172342640798
Lasso,0.5673690710616642,0.46590031716146146,0.46360153256704983,261.0,1.0152227261544344
RW+Drift,0.567738755440371,0.46606743790666416,0.46360153256704983,261.0,1.0158842214701116
Ridge,0.5892376404205627,0.48043163591152016,0.4482758620689655,261.0,1.054353284611022
OLS,0.5949896738723949,0.4853108330394807,0.4521072796934866,261.0,1.0646456945779126
