year,AR1,Lasso,OLS,RW+Drift,RandomWalk,Ridge
2021,0.5068397330005987,0.5160290458028816,0.5635457233460313,0.5163716370630705,0.5101539257170603,0.5523149740176561
2022,0.6936707037172762,0.6855466664609605,0.7054902301527527,0.6858881844405658,0.6927952920818445,0.7003653670014297
2023,0.6545697748323931,0.6402582193595256,0.6725249389377124,0.6409160007915453,0.6493345020687891,0.6676449681634353
2024,0.4420209245017075,0.46198211816314905,0.4877111204658892,0.4623601925209191,0.44485292470139554,0.4828693101941881
2025,0.44809413076651217,0.5009887112898243,0.5150843996401755,0.5010736984009353,0.45739739980257216,0.5121908758197913
